Visit_ID,Site_ID,Treatment,Sample_number,Provisional_ID,ID2,Caterpillar_mass_mg,DaysSince
1,107,Unlit,3,Small green noctuid - LYU?,Green noctuid,12.13,0
2,113,Unlit,2,Bright green with thin white stripe which joins to rear legs,Green noctuid,42.83,0
2,113,HPS,2,Small brown noctuid,Dart noctuid,37.63,0
2,113,HPS,1,Small brown noctuid,Dart noctuid,44.33,0
1,107,Unlit,2,Small green noctuid - LYU?,Green noctuid,182.73,0
2,113,Unlit,6,small noctuid,Brown noctuid,3.23,0
2,113,HPS,5,Small noctuid,Brown noctuid,36.63,0
2,113,Unlit,5,Small noctuid,Brown noctuid,12.63,0
1,107,HPS,1,Small noctuid,Brown noctuid,8.43,0
2,113,HPS,4,Large yellow Underwing?,Large Yellow Underwing,433.125,0
2,113,Unlit,3,Small noctuid - SSR?,Brown noctuid,34.53,0
1,107,Unlit,1,Small noctuid - SSR?,Brown noctuid,36.83,0
2,113,Unlit,7,unknown - mush,Unknown,15.03,0
2,113,HPS,6,unknown,Unknown,13.63,0
2,113,Unlit,1,Small green noctuid - LYU?,Green noctuid,142.43,0
2,113,HPS,3,Angle shades?,Green noctuid,454.425,0
2,113,Unlit,4,Small noctuid - SSR?,Brown noctuid,34.63,0
1,107,HPS,2,Small noctuid,Brown noctuid,13.43,0
1,107,HPS,3,Small noctuid - SSR?,Brown noctuid,12.23,0
8,139,HPS,1,Small noctuid - SSR?,Brown noctuid,16.54,11
9,171,HPS,1,Dark noctuid. Pale stripe. ,Dart noctuid,61.14,11
9,171,Unlit,8,Small noctuid - SSR?,Brown noctuid,72.94,11
7,149,Unlit,1,Large yellow Underwing?,Large Yellow Underwing,401.325,11
8,139,Unlit,1,Small noctuid,Brown noctuid,1.54,11
6,156,LPS,1,Small noctuid - SSR?,Brown noctuid,24.24,11
7,149,Unlit,6,Small noctuid - SSR?,Brown noctuid,18.54,11
7,149,Unlit,8,Small noctuid,Brown noctuid,47.24,11
9,171,Unlit,3,Small noctuid,Brown noctuid,9.46,11
7,149,Unlit,2,Small noctuid,Brown noctuid,26.44,11
9,171,HPS,5,Small noctuid,Brown noctuid,10.24,11
9,171,HPS,7,SSR,Brown noctuid,197.24,11
9,171,HPS,3,Small noctuid - SSR?,Brown noctuid,28.34,11
6,156,LPS,2,Small noctuid - SSR?,Brown noctuid,54.24,11
6,156,LPS,4,Small noctuid - SSR?,Brown noctuid,33.74,11
7,149,LED,2,Small noctuid,Brown noctuid,27.64,11
6,156,LPS,3,Small noctuid,Brown noctuid,1.34,11
7,149,Unlit,9,Small noctuid - SSR?,Brown noctuid,18.94,11
7,149,Unlit,7,Small noctuid,Brown noctuid,20.64,11
9,171,HPS,4,dark noctuid. Pale stripe. ,Dart noctuid,45.94,11
9,171,Unlit,5,small noctuid,Brown noctuid,7.84,11
6,156,Unlit,2,Small noctuid,Brown noctuid,9.24,11
6,156,Unlit,1,small green noctuid,Green noctuid,35.64,11
7,149,Unlit,3,Small noctuid - SSR?,Brown noctuid,43.64,11
7,149,Unlit,5,Small noctuid,Brown noctuid,13.44,11
9,171,Unlit,6,Small noctuid - SSR?,Brown noctuid,10.44,11
