station_id,date,temp_min_c,temp_max_c,mean_c,precip_mm
72405,2024-01-21,-6.1,-6.1,-4.4,0
72405,2024-01-20,-2.2,-2.2,-0.4,7.3
72405,2024-01-19,-5.6,-5.6,-0.7,0
72405,2024-01-18,-8.9,-8.9,-5,0
72405,2024-01-17,-7.2,-7.2,-2.6,1.1
72405,2024-01-16,-3.9,-3.9,-2,7.8
72405,2024-01-15,-0.6,-0.6,2,NA
72405,2024-01-14,0.6,0.6,8,0.5
72405,2024-01-13,1.1,1.1,7.4,8.5
72405,2024-01-12,0.6,0.6,5.8,0
72405,2024-01-11,4.4,4.4,9.2,NA
72405,2024-01-10,2.8,2.8,9.2,56
72405,2024-01-09,2.8,2.8,5.6,0
72405,2024-01-08,1.1,1.1,5.6,0
72405,2024-01-07,0.6,0.6,2.8,26.3
72405,2024-01-06,-2.8,-2.8,1.2,0
72405,2024-01-05,-1.1,-1.1,4.4,0
72405,2024-01-04,0.6,0.6,4.7,0
72405,2024-01-03,0.6,0.6,4.6,0
72405,2024-01-02,3.3,3.3,5,NA
72405,2024-01-01,4.4,4.4,7.3,0
72405,2023-12-31,2.8,2.8,6.9,0
72405,2023-12-30,7.2,7.2,9.9,0
72405,2023-12-29,10.6,10.6,11.4,1
72405,2023-12-28,7.8,7.8,10.2,31
72405,2023-12-27,6.7,6.7,8.2,3.5
72405,2023-12-26,4.4,4.4,9.1,0
72405,2023-12-25,5.6,5.6,7.6,0.3
72405,2023-12-24,2.8,2.8,6.3,0
72405,2023-12-23,2.2,2.2,5.7,0
72405,2023-12-22,0,0,5,0
72405,2023-12-21,-1.7,-1.7,3.2,0
72405,2023-12-20,-1.1,-1.1,3.3,0
72405,2023-12-19,3.3,3.3,10.1,5
72405,2023-12-18,5.6,5.6,10,57
72405,2023-12-17,1.7,1.7,7.7,0
72405,2023-12-16,0.6,0.6,7.1,0
72405,2023-12-15,-1.7,-1.7,4.3,0
72405,2023-12-14,0.6,0.6,5.6,0
72405,2023-12-13,-0.6,-0.6,3.9,0
72405,2023-12-12,0.6,0.6,4.7,10
72405,2023-12-11,3.3,3.3,12.8,32
72405,2023-12-10,2.2,2.2,8.8,0
72405,2023-12-09,2.2,2.2,8,0
72405,2023-12-08,0,0,4.9,0
72405,2023-12-07,1.7,1.7,5.4,NA
72405,2023-12-06,3.9,3.9,7.2,0
72405,2023-12-05,5,5,9.8,0
72405,2023-12-04,8.9,8.9,11.5,19
72405,2023-12-03,7.2,7.2,9.7,3
72405,2023-12-02,2.8,2.8,7.5,3.3
72405,2023-12-01,-0.6,-0.6,6,0
72405,2023-11-30,-4.4,-4.4,0.6,0
72405,2023-11-29,-2.8,-2.8,1.9,0
72405,2023-11-28,1.1,1.1,5.9,0
72405,2023-11-27,1.7,1.7,5.5,4
72405,2023-11-26,1.1,1.1,3.7,0
72405,2023-11-25,4.4,4.4,8.6,0
72405,2023-11-24,7.2,7.2,10.2,0
72405,2023-11-23,8.9,8.9,11.5,0
72405,2023-11-22,3.9,3.9,9.6,55
72405,2023-11-21,3.9,3.9,7.3,0
72405,2023-11-20,3.9,3.9,10.1,0
72405,2023-11-19,7.2,7.2,12.5,0.3
72405,2023-11-18,8.3,8.3,14.8,0.3
