id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	dynamicProperties	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	preparations	otherCatalogNumbers	associatedReferences	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	fieldNumber	waterBody	country	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT	identifiedBy	dateIdentified	typeStatus	scientificNameID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-2706	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-2706	CNP-P-2706														1978	8	27			Argentina							89		-40.5	-58.450001						urn:lsid:marinespecies.org:taxname:990516	Odontesthes smitti	Animalia	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Odontesthes		smitti		(Lahille, 1929)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-1	CNP-P-1														1983	2	2			Argentina							92		-45.016666	-64.183334						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-2	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-2	CNP-P-2														1983	2	2			Argentina							78		-45.150002	-64.800003						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-3	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-3	CNP-P-3														1983	2	3			Argentina							89		-46	-65.550003						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-4	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-4	CNP-P-4														1983	2	10			Argentina							86		-41.966667	-59.966667						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-5	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-5	CNP-P-5														1983	2	10			Argentina							66		-41.666668	-60.299999						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-6	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-6	CNP-P-6														1983	2	10			Argentina							68		-41.400002	-60.116665						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-7	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-7	CNP-P-7														1978	3	12			Argentina							120		-32.666668	-45.75						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-8	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-8	CNP-P-8														1978	4	14			Argentina							87		-37.983334	-55.966667						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-9	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-9	CNP-P-9														1978	4	15			Argentina							47		-38	-56.966667						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-10	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-10	CNP-P-10														1978	4	14			Argentina							26		-39.066666	-59.950001						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-11	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-11	CNP-P-11														1978	4	15			Argentina							44		-38.983334	-58.983334						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-12	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-12	CNP-P-12														1978	4	16			Argentina							71		-39.133335	-58.066666						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-13	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-13	CNP-P-13														1978	4	15			Argentina							85		-39	-57.049999						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-14	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-14	CNP-P-14														1978	4	17			Argentina							80		-41	-60.016666						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-15	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-15	CNP-P-15														1978	4	17			Argentina							43		-41.083332	-61.983334						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-16	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-16	CNP-P-16														1978	4	18			Argentina							85		-42.983334	-62						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-17	2017-03-31T17:00:00			CENPAT-CONICET	CNP-PECES	HumanObservation		urn:catalog:CENPAT-CONICET:CNP-PECES:CNP-P-17	CNP-P-17														1978	4	18			Argentina							78		-43.033333	-62.966667						urn:lsid:marinespecies.org:taxname:278720	Acanthistius brasilianus	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Acanthistius		brasilianus		(Cuvier, 1828)
