id	eventID	eventDate	waterBody	country	countryCode	municipality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude
ndLob-1A	ndLob-1A	1999-05-06T13:40:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	9.5	9.5	-41.8305555555556	-65.0644444444445
ndLob-1B	ndLob-1B	1999-05-06T13:43:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	11	11	-41.8305555555556	-65.0630555555556
ndLob-1C	ndLob-1C	1999-05-06T13:46:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	13.5	13.5	-41.8305555555556	-65.0616666666667
ndLob-1D	ndLob-1D	1999-05-06T13:50:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	17	17	-41.8305555555556	-65.0602777777778
ndLob-1E	ndLob-1E	1999-05-06T13:53:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	18.5	18.5	-41.8305555555556	-65.0588888888889
ndLob-1F	ndLob-1F	1999-05-06T13:57:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	20	20	-41.8305555555556	-65.0575
ndLob-2A	ndLob-2A	1999-05-12T11:00:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	8.5	8.5	-42.0083333333333	-65.0672222222222
ndLob-2B	ndLob-2B	1999-05-12T11:05:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	11	11	-42.0083333333333	-65.0658333333333
ndLob-2C	ndLob-2C	1999-05-12T11:10:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	12	12	-42.0083333333333	-65.0644444444445
ndLob-2D	ndLob-2D	1999-05-12T11:15:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	12	12	-42.0083333333333	-65.0630555555556
ndLob-2E	ndLob-2E	1999-05-12T11:45:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	12.5	12.5	-42.0083333333333	-65.0616666666667
ndLob-2F	ndLob-2F	1999-05-12T11:50:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	13.5	13.5	-42.0083333333333	-65.0602777777778
ndLob-2G	ndLob-2G	1999-05-12T12:30:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	15	15	-42.0083333333333	-65.0588888888889
ndLob-2H	ndLob-2H	1999-05-12T12:37:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	16.5	16.5	-42.0083333333333	-65.0575
ndLob-2I	ndLob-2I	1999-05-12T12:45:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	22	22	-42.0083333333333	-65.0561111111111
ndLob-3A	ndLob-3A	1999-05-06T14:36:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	14	14	-42.0166666666667	-65.0644444444445
ndLob-3B	ndLob-3B	1999-05-06T14:41:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	15	15	-42.0166666666667	-65.0630555555556
ndLob-3C	ndLob-3C	1999-05-06T14:46:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	16	16	-42.0166666666667	-65.0616666666667
ndLob-3D	ndLob-3D	1999-05-06T14:50:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	17.5	17.5	-42.0166666666667	-65.0602777777778
ndLob-3E	ndLob-3E	1999-05-06T14:55:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	18.5	18.5	-42.0166666666667	-65.0588888888889
ndLob-3F	ndLob-3F	1999-05-06T15:00:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	20	20	-42.0166666666667	-65.0575
ndLob-4A	ndLob-4A	1999-05-06T15:57:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	14	14	-42.0338888888889	-65.0541666666667
ndLob-4B	ndLob-4B	1999-05-06T16:00:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	17.5	17.5	-42.0338888888889	-65.0527777777778
ndLob-4C	ndLob-4C	1999-05-06T16:02:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	18	18	-42.0338888888889	-65.0513888888889
ndLob-4D	ndLob-4D	1999-05-06T16:05:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	19.5	19.5	-42.0338888888889	-65.05
ndLob-4E	ndLob-4E	1999-05-06T16:07:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	24	24	-42.0338888888889	-65.0494444444445
ndLob-5A	ndLob-5A	1999-05-07T10:55:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	7	7	-42.0500555555556	-65.0466666666667
ndLob-5B	ndLob-5B	1999-05-07T11:04:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	10	10	-42.0500555555556	-65.0455555555556
ndLob-5C	ndLob-5C	1999-05-07T11:10:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	11	11	-42.0500555555556	-65.0441666666667
ndLob-5D	ndLob-5D	1999-05-07T11:20:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	12	12	-42.0500555555556	-65.0427777777778
ndLob-5E	ndLob-5E	1999-05-07T11:30:00-03:00	Argentine Sea	Argentina	AR	Puerto Lobos	16	16	-42.0500555555556	-65.0413888888889
