id	measurementID	occurrenceID	measurementType	measurementTypeID	measurementValue	measurementUnit
ndLob-1A	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-1:msr-1	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-1	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	10.37	individuals/m2
ndLob-1A	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-1:msr-2	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-1	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	338.68	gr/m2
ndLob-1B	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-2:msr-3	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-2	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	36.7	individuals/m2
ndLob-1B	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-2:msr-4	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-2	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	1093.92	gr/m2
ndLob-1C	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-3:msr-5	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-3	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	36.7	individuals/m2
ndLob-1C	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-3:msr-6	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-3	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	1093.92	gr/m2
ndLob-1D	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-4:msr-7	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-4	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	36.7	individuals/m2
ndLob-1D	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-4:msr-8	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-4	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	1093.92	gr/m2
ndLob-1E	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-5:msr-9	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-5	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	36.7	individuals/m2
ndLob-1E	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-5:msr-10	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-5	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	1093.92	gr/m2
ndLob-1F	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-6:msr-11	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-6	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	36.7	individuals/m2
ndLob-1F	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-6:msr-12	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-6	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	1093.92	gr/m2
ndLob-2B	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-7:msr-13	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-7	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	36.7	individuals/m2
ndLob-2B	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-7:msr-14	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-7	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	1093.92	gr/m2
ndLob-2C	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-8:msr-15	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-8	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	0.07	individuals/m2
ndLob-2C	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-8:msr-16	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-8	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	19.92	gr/m2
ndLob-2F	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-9:msr-17	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-9	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	0.07	individuals/m2
ndLob-2F	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-9:msr-18	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-9	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	19.92	gr/m2
ndLob-2G	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-10:msr-19	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-10	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	21.59	individuals/m2
ndLob-2G	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-10:msr-20	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-10	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	755.3	gr/m2
ndLob-2H	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-11:msr-21	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-11	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	21.59	individuals/m2
ndLob-2H	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-11:msr-22	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-11	Relative abundance and/or Biomass	http://vocab.nerc.ac.uk/collection/C47/current/IN1_6_2/	755.3	gr/m2
ndLob-2H	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-12:msr-23	urn:catalog:CENPAT-CONICET:CNP-PTO-LOBOS:CNP-PTO-LOBOS-12	Population Density	http://vocab.nerc.ac.uk/collection/P21/current/MS8518/	32.38	individuals/m2
