Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,:,Infix operator that generates a regular sequence of adjacent values
.Primitive,::,Infix operator that can be used to access a package environment without attaching the whole package environment to your current session
.Primitive,[…],Extraction operator used to index multiple values from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,[[…]],Extraction operator used to index a single value from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,$,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,==,Infix relational operator (is equal to)
.Primitive,!,Prefix logical operator (not)
.Primitive,+,Infix arithmetic operator (addition)
.Primitive,-,Infix arithmetic operator (subtract) or prefix negative symbol operator
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,as.numeric,"Transform an atomic vector to an double numeric vector (i.e., decimal numbers)"
.Primitive,c,Combine values to form an atomic vector
.Primitive,list,"Combine multiple objects of any type into a single, recursive, data object"
base,factor,Convert a character vector to a factor
base,library,Attach the package environment for a given package to the current R session
base,mean,Generate a one-value double numeric vector that describes the mean of a vector
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
purrr,map_dbl,Iterate across a vector and return a double numeric vector
tibble,tibble,Column-wise creation of a tibble data frame
tibble,tribble,Row-wise creation of a tibble data frame
