Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,$,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,+,Infix arithmetic operator (addition)
.Primitive,-,Infix arithmetic operator (subtract) or prefix negative symbol operator
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,c,Combine values to form an atomic vector
base,factor,Convert a character vector to a factor
base,library,Attach the package environment for a given package to the current R session
base,summary,Print summary stats for a data object
base,table,Count the number of unique observations in an atomic vector
ggplot2,+,ggplot's pipe operator (adds a layer to a plot)
ggplot2,aes,Define aesthetics
ggplot2,element_text,Set the theme for a text element
ggplot2,facet_wrap,Split plot into facets
ggplot2,geom_point,Create a point geometry
ggplot2,geom_smooth,Add a line-of-best-fit geometry
ggplot2,ggplot,"Set the data and, potentially, the aesthetics of a plot"
ggplot2,labs,Add or modify the labels of a plot
ggplot2,scale_color_manual,Manually define the colors of a geometry
ggplot2,scale_x_continuous,Set the scale of the x axis
ggplot2,scale_y_continuous,Set the scale of the y axis
ggplot2,theme,Define the theme elements of a plot
ggplot2,theme_bw,Generate a pre-packaged light background theme for a plot
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
readr,read_csv,Read a tabular csv file into R as a tibble data frame
