Old_Site_ID,SiteID_Figures,Sampling_method,Site_Name,Light_Type,Lit_transect_centroid,Lit_transect_E,Lit_transect_N,Lit_transect_lat,Lit_transect_long,Hedge_mean_illumination,Grass_mean_illumination,Dist_between_trans,Unlit_transect_Centroid,Unlit_ transect_ E,Unlit_ transect_ N,Unlit_ transect_ Lat,Unlit_ transect_Long,Lit_100_urban,Lit_250_urban,Lit_500_urban,Unlit_100_urban,Unlit_250_urban,Unlit_500_urban,100m_radius,250m_radius,500m_radius,Lit100s/urban,Lit250s/urban,Lit500s/urban,Unlit100s/urban,Unlit250s/urban,Unlit500s/urban
4,H1,Hedge only,Golden Balls (east),LED,SU56039770,456030,197700,51.675283,-1.1911034,9.02,n/a,117,SU56169779,456160,197790,51.676079,-1.1892091,5236,19498,26810,0,4642,26810,30839,192709,770918,16.98%,10.12%,3.48%,0.00%,2.41%,3.48%
11,H5,Hedge only,Radley,HPS,SP52490042,452490,200420,51.700078,-1.241885,2.52,n/a,101,SP52440033,452440,200330,51.699273,-1.2426219,4150,31110,90520,0,17858,82363,30839,192709,770918,13.46%,16.14%,11.74%,0.00%,9.27%,10.68%
15,H6,Hedge only,Long Wittenham,HPS,SU54729349,454720,193490,51.637562,-1.210704,3.5,n/a,125,SU54789338,454780,193380,51.636568,-1.2098542,5618,49349,210043,0,21950,133548,30839,192709,770918,18.22%,25.61%,27.25%,0.00%,11.39%,17.32%
16,G6,Grass only,Uffington,HPS,SU30918929,430910,189290,51.601608,-1.5551074,n/a,0.24,102,SU30988922,430980,189220,51.600975,-1.5541029,12736,28901,133903,435,24809,99454,30839,192709,770918,41.30%,15.00%,17.37%,1.41%,12.87%,12.90%
21,H8,Hedge only,Thame (west),HPS,SP69240586,469240,205860,51.747169,-0.99847278,6.28,n/a,178,SP69270604,469270,206040,51.748784,-0.99800251,5769,8591,27586,5385,5616,39823,30839,192709,770918,18.71%,4.46%,3.58%,17.46%,2.91%,5.17%
107,G7,Grass only,Crowmarsh Gifford,HPS,SU62118875,462110,188750,51.594183,-1.1047717,n/a,5.26,81,SU62088867,462080,188670,51.593467,-1.1052189,3194,56805,188928,0,29131,164998,30839,192709,770918,10.36%,29.48%,24.51%,0.00%,15.12%,21.40%
113,G8,Grass only,Chalgrove,HPS,SU64299684,464100,196970,51.667859,-1.0745457,n/a,7.14,328,SU64429676,463790,197170,51.669692,-1.078991,18206,2075,27342,14953,17509,55289,30839,192709,770918,59.04%,1.08%,3.55%,48.49%,9.09%,7.17%
116,H8,Hedge only,Kingston Blout,HPS,SU74149952,474140,199520,51.689549,-0.92885737,3.66,n/a,114,SU74239958,474230,199580,51.690077,-0.92754289,5769,8591,27586,5385,5616,39823,30839,192709,770918,18.71%,4.46%,3.58%,17.46%,2.91%,5.17%
121,H9,Hedge only,Thame (east),HPS,SP72140557,472140,205570,51.744197,-0.95653424,9.94,n/a,115,SP72250555,472250,205550,51.744003,-0.95494544,6323,57590,24855,0,22111,18641,30839,192709,770918,20.50%,29.88%,3.22%,0.00%,11.47%,2.42%
129,G1,Grass only,Golden Balls (north),LED,SU55919777,455910,197770,51.675924,-1.1928274,n/a,6.32,527,SU55769828,455760,198280,51.680524,-1.1949152,10,19472,26810,0,0,0,30839,192709,770918,0.03%,10.10%,3.48%,0.00%,0.00%,0.00%
