Package,Function,Definition
.Primitive,(...),Operator that evaluates the function name on the left-hand-side (LHS) of the opening parentheses using the arguments enclosed by the parentheses
.Primitive,{…},Operator that passes the last operation in `{...}` to the global environment
.Primitive,<-,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should be used for global assignments!
.Primitive,=,Infix operator that assigns an object on the right-hand-side (RHS) to a name on the left-hand-side (LHS) -- this should not be used for global assignments!
.Primitive,~,The formula operator separates the left- and right-hand sides (LHS and RHS) in a formula.
.Primitive,:,Infix operator that generates a regular sequence of adjacent values
.Primitive,[…],Extraction operator used to index multiple values from a data object (LHS) based on the position or values specified inside the brackets
.Primitive,$,Infix operator that extracts the values associated with a name (RHS) from a recursive object (LHS)
.Primitive,==,Infix relational operator (is equal to)
.Primitive,!,Prefix logical operator (not)
.Primitive,|,Prefix logical operator (or)
.Primitive,-,Infix arithmetic operator (subtract) or prefix negative symbol operator
.Primitive,/,Infix arithmetic operator (divide)
.Primitive,^,Infix arithmetic operator (to the power of)
.Primitive,as.numeric,"Transform an atomic vector to an double numeric vector (i.e., decimal numbers)"
.Primitive,c,Combine values to form an atomic vector
base,library,Attach the package environment for a given package to the current R session
base,list2env,Assign the items in a list to a specified environment
dplyr,case_when,Classify or reclassify a vector into two or more  classes based on a series of logical tests
dplyr,filter,Subset a data frame by logical condition
dplyr,group_by,Group the data in a data frame by a given variable such that one or more subsequent analyses are run separately on each group
dplyr,if_else,Classify or reclassify a vector into two classes by applying a logical test and assigning one value if the test evaluates to `TRUE` and another if it evaluates to `FALSE`
dplyr,left_join,"A mutating join that joins a source table to a target table and maintains all records found in the target table, regardless of matching key values"
dplyr,mutate,Add or modify a column in a data frame
dplyr,n,Calculate the number of observations (rows)
dplyr,pull,Extract a column from a data frame as a vector
dplyr,select,Subset columns in a data frame by name (without quotes!)
dplyr,slice,Subset a data frame by row or rows using the row position(s)
dplyr,summarize,Calculate one or more summary statistics on a variable or variables in a data frame (often used in conjunction with `group_by()` but may also be used with `.by = ...`)
lubridate,as_date,"Convert properly formatted date, stored as a character or datetime vector, to a date class object"
lubridate,dmy,"Convert a date formatted as day, month, year (European date format) to a date class object"
lubridate,hour,Get hour-of-day from an ISO-8601 formatted object with a date and time.
lubridate,mdy,"Convert a date formatted as month, day, year (US date format) to a date class object"
lubridate,month,Extract the month from a properly formatted date value
lubridate,wday,Extract the day of the week from a properly formatted date value
lubridate,yday,Calculate the day of year from a properly formatted date object
lubridate,year,Extract the year from a properly formatted date value
magrittr,%>%,The pipe operator passes the output of the LHS argument to the function on the right
readr,read_csv,Read a tabular csv file into R as a tibble data frame
readr,read_rds,Read an RDS file into R
stringr,str_c,"Concatenate strings, with or without (default) a separator"
stringr,str_detect,Logical test of whether a pattern (string) is contained within a character value
stringr,str_replace,Replace a given pattern in a string with a new pattern
stringr,str_replace_all,Replace a multiple instances of a given pattern in a string with a new pattern
tibble,tibble,Column-wise creation of a tibble data frame
