date,scientific_name,address,city,state,quality_grade
2021-02-27,Magicicada,Silvoor Ln,Oxford,OH,research
2021-03-08,Magicicada cassinii,Sherbourne Dr,Erlanger,KY,research
2021-03-09,Magicicada septendecim,MacCracken Hall,Oxford,OH,research
2021-03-11,Magicicada septendecim,Seneca Regional Park,Great Falls,VA,research
2021-03-11,Magicicada septendecim,nd Ave & Nicholson St,Hyattsville,MD,research
2021-03-14,Magicicada cassinii,Columbia Pike,Silver Spring,MD,research
2021-03-14,Magicicada septendecula,Anne Tucker Ln,Alexandria,VA,research
2021-03-21,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-03-21,Magicicada,N Monroe St,Arlington,VA,research
2021-03-21,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-03-23,Magicicada,Reading Rd,Evendale,OH,research
2021-03-24,Magicicada,Norbeck Rd & Gude Dr,Rockville,MD,research
2021-03-24,Magicicada septendecim,Caldwell Woods (Cook County Forest Preserve),Niles,IL,research
2021-03-25,Magicicada septendecim,Powhatan Springs Park,Arlington,VA,research
2021-03-25,Magicicada septendecula,Powhatan Springs Park,Arlington,VA,research
2021-03-25,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-03-26,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-03-27,Magicicada,Tapawingo Rd SW,Vienna,VA,research
2021-03-27,Magicicada septendecim,Douglas Park,Arlington,VA,research
2021-03-28,Magicicada septendecula,Palisades,Washington,DC,research
2021-03-29,Magicicada septendecim,Wheaton Regional Park,Silver Spring,MD,research
2021-03-30,Magicicada septendecim,Conrad Formal Gardens,Oxford,OH,research
2021-03-30,Magicicada cassinii,Crabbs Branch Way & Moccasin Ln,Derwood,MD,research
2021-03-30,Magicicada cassinii,Cecilia Ct,Cincinnati,OH,research
2021-03-31,Magicicada septendecim,Doral Dr,Wilmington,DE,research
2021-04-02,Magicicada cassinii,Forest Oak Ct,Cincinnati,OH,research
2021-04-03,Magicicada septendecim,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-03,Magicicada septendecim,Sligo Creek Park,Silver Spring,MD,research
2021-04-03,Magicicada septendecim,Cedar Mountain Rd,Asheville,NC,research
2021-04-04,Magicicada cassinii,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-04,Magicicada septendecim,Sligo Creek Park,Silver Spring,MD,needs_id
2021-04-04,Magicicada septendecim,Valleywood Dr & Henderson Ave,Silver Spring,MD,research
2021-04-04,Magicicada septendecim,Innes Ave,Cincinnati,OH,research
2021-04-05,Magicicada septendecula,Tapawingo Rd SW,Vienna,VA,research
2021-04-05,Magicicada septendecula,Watch Creek Dr,Cincinnati,OH,research
2021-04-05,Magicicada cassinii,Claude Moore Park,Sterling,VA,research
2021-04-05,Magicicada cassinii,Ramrod Rd,Woodbridge,VA,research
2021-04-05,Magicicada,White Rock Rd,Sykesville,MD,research
