id,date,species,sex,wing,mass
p8A69m8iF8-q59c3UT,2012-05-19,Northern Cardinal,F,86,40.6
qI8K769FjC-i9lez3G,2012-05-10,Carolina Wren,M,59,20.7
iAxbX3oyf4-d4f7sbF,2012-05-18,Gray Catbird,F,86,43.7
xP6s2S3Xn7-i9lez3G,2012-05-10,Song Sparrow,M,70,22
w2w62bg4fQ-d4f7sbF,2012-05-18,Northern Cardinal,M,93,42.1
jCL8VUTgA1-q59c3UT,2012-05-19,Carolina Wren,F,63,21.3
gjoi4gs2Nz-q59c3UT,2012-05-19,Gray Catbird,M,89,36.1
fF9t2MdBwf-d4f7sbF,2012-05-18,Gray Catbird,M,87,35.2
ijebJ7123B-i9lez3G,2012-05-10,Carolina Chickadee,M,63,9.6
hvX8e1Z4du-caNFc4J,2012-06-06,Northern Cardinal,M,93,42.3
p9b53tpjdG-i9lez3G,2012-05-10,Song Sparrow,M,67,19.4
eb5rEL9T44-uO7ehia,2012-05-04,Song Sparrow,M,64,20.6
u646Zhd2fH-i9lez3G,2012-05-10,Gray Catbird,F,89,43.3
jxB82gctd6-d4f7sbF,2012-05-18,Song Sparrow,F,63,21.4
u55Y08GS48-q59c3UT,2012-05-19,Carolina Chickadee,F,59,8.9
uv03c7xHtD-i9lez3G,2012-05-10,American Robin,F,129,76.8
jH7dOs4Ma8-i9lez3G,2012-05-10,Gray Catbird,M,91,37.7
qNyDaSAf4M-d4f7sbF,2012-05-18,Carolina Chickadee,M,62,10.1
n5QJYobFf0-uO7ehia,2012-05-04,Song Sparrow,M,70,22.4
z20Hz29GQe-d4f7sbF,2012-05-18,Northern Cardinal,F,89,41.1
s5fIo4c765-q59c3UT,2012-05-19,Northern Cardinal,M,86,42.1
bY8xX0tNS5-uO7ehia,2012-05-04,Gray Catbird,M,91,38.8
k6v9yJG715-f8dFvo9,2012-05-31,Carolina Chickadee,M,63,9.1
b1Gf63rWSz-e1hj0u7,2012-05-23,Carolina Chickadee,M,61,10.4
iO98S8PG5J-x3H5659,2012-06-04,Carolina Chickadee,F,58,9.3
s02Kj5Q482-jO2H949,2012-06-02,American Robin,F,121,75.1
da21oG4216-lzP6J5R,2012-05-29,Carolina Chickadee,M,65,9.6
mnmQ10XhIO-eMg9rW8,2012-05-31,Gray Catbird,M,84,34.5
tUaGcsWr68-lq7CbHD,2012-06-07,Song Sparrow,F,61,20.1
i8R23KzShu-x3H5659,2012-06-04,House Wren,F,48,11.6
eN5By8u92Q-caNFc4J,2012-06-06,Carolina Wren,F,61,18.3
t8kIQ4z9Fo-o6qJ98m,2012-05-30,American Robin,M,126,77.4
jWY0db2Kf3-jO2H949,2012-06-02,Gray Catbird,F,87,36
n7wf860b44-r2hxZlE,2012-05-19,Carolina Chickadee,F,55,9.1
a509023pot-x3H5659,2012-06-04,Carolina Wren,M,59,19.9
xc52pMK4Qx-o6qJ98m,2012-05-30,House Wren,M,50,10.1
e7284Qps70-jO2H949,2012-06-02,Gray Catbird,F,86,36.7
tkZjM214oi-w013D9g,2012-05-26,Gray Catbird,M,84,33.4
j03M5bE1v2-lq7CbHD,2012-06-07,Gray Catbird,F,84,39.7
zG12I9O5z4-lq7CbHD,2012-06-07,Gray Catbird,M,90,33.2
cZVOt2NiCq-f8dFvo9,2012-05-31,House Wren,F,47,11
nAy45fT7Ni-w013D9g,2012-05-26,Carolina Chickadee,F,59,9.3
vikm6Lwn2G-o6qJ98m,2012-05-30,Northern Cardinal,M,93,44.6
u88k1TV399-caNFc4J,2012-06-06,American Robin,F,124,79.8
p5ht1ynSk3-o6qJ98m,2012-05-30,Carolina Chickadee,M,61,9.9
y43dx294j6-lq7CbHD,2012-06-07,Song Sparrow,M,68,20
gLT5310Y4X-f8dFvo9,2012-05-31,Carolina Chickadee,F,59,8.4
xA8USgE301-e1hj0u7,2012-05-23,Carolina Chickadee,F,60,10.1
mKZj107F7c-lq7CbHD,2012-06-07,Gray Catbird,M,92,35.1
xSpCB3v51G-w013D9g,2012-05-26,Gray Catbird,F,86,41.1
zQy53SH2xP-r2hxZlE,2012-05-19,Carolina Wren,M,62,22.2
iz2hL8Wat1-nr2F389,2012-06-09,Carolina Chickadee,M,64,10
hX61TkHoLb-w013D9g,2012-05-26,Carolina Chickadee,M,62,9.9
x26auCX6P5-z08Mt3T,2012-06-08,Gray Catbird,F,85,36.6
rhU3x8aIdE-x3H5659,2012-06-04,House Wren,M,49,10
pj86Lp34g8-lq7CbHD,2012-06-07,Northern Cardinal,F,87,38.3
hJ5y2l94cN-o6qJ98m,2012-05-30,House Wren,M,51,10.6
kYuTaekLqv-z08Mt3T,2012-06-08,American Robin,F,125,79.2
qL5y3l87H8-caNFc4J,2012-06-06,Northern Cardinal,F,93,43.1
n19K0M295V-ex0N69i,2012-06-16,Gray Catbird,M,88,35.1
n6DTcwf70X-q59c3UT,2012-05-19,Carolina Chickadee,M,62,9.2
niN9tOu6F8-z08Mt3T,2012-06-08,American Robin,F,123,81.1
z49sK2JPha-x3H5659,2012-06-04,Northern Cardinal,M,98,46
qi36Zc7jq2-x3H5659,2012-06-04,Carolina Chickadee,M,59,10.6
hgmvYZP18c-z08Mt3T,2012-06-08,American Robin,M,125,71.3
oYW00l2Jzi-z08Mt3T,2012-06-08,Song Sparrow,M,66,22.2
i20q8gCA0w-z08Mt3T,2012-06-08,Gray Catbird,M,86,34.8
v4Y284jK9d-lzP6J5R,2012-05-29,Northern Cardinal,F,90,38.6
y62DMtG8pI-z08Mt3T,2012-06-08,Song Sparrow,M,65,18.2
b7j1833Ctw-z08Mt3T,2012-06-08,Song Sparrow,M,66,21.7
iUJ6Ss10qn-x3H5659,2012-06-04,Northern Cardinal,F,90,39.9
zbK47IF0h6-nr2F389,2012-06-09,Northern Cardinal,F,91,50.9
uS5jhT4W4R-e1hj0u7,2012-05-23,Northern Cardinal,F,92,40.8
oQCPn19j6L-x3H5659,2012-06-04,Northern Cardinal,M,97,43.1
sZ7m2GLl4t-lq7CbHD,2012-06-07,Carolina Wren,F,57,19.6
j11t3R65e2-w013D9g,2012-05-26,American Robin,M,130,68.3
s27gG2d87s-lq7CbHD,2012-06-07,Carolina Chickadee,M,63,11.1
t77243hEVP-r2hxZlE,2012-05-19,Carolina Chickadee,M,62,10.5
rLltX5V9r1-k0W22Jp,2012-06-11,Carolina Chickadee,F,60,9.7
uO4f7DCql8-k0W22Jp,2012-06-11,Carolina Chickadee,F,56,9
u96VapL51A-ex0N69i,2012-06-16,Gray Catbird,F,91,36.3
