site_name,site_description,latitude,longitude,region
BARBJERMD1,Suburban backyard NN,39.109066414115,-76.473283384131,MD
BBS 88-900-09,"Breeding Bird Survey in Virginia, route 900, point count stop 9",37.7387,-79.2707,VA
BBS 88-900-29,"Breeding Bird Survey in Virginia, route 900, point count stop 29",37.727,-79.2448,VA
BBS 88-902-23,"Breeding Bird Survey in Virginia, route 902, point count stop 23",37.5402,-79.5683,VA
BBS 88-902-36,"Breeding Bird Survey in Virginia, route 902, point count stop 36",37.517,-79.6178,VA
BBS 88-905-17,"Breeding Bird Survey in Virginia, route 905, point count stop 17",37.5304,-80.2033,VA
BBS 88-905-38,"Breeding Bird Survey in Virginia, route 905, point count stop 38",37.5955,-80.1508,VA
BBS 88-907-21,"Breeding Bird Survey in Virginia, route 907, point count stop 21",38.3889,-78.5134,VA
BBS 88-907-45,"Breeding Bird Survey in Virginia, route 907, point count stop 45",38.2907,-78.6244,VA
BBS 88-920-25,"Breeding Bird Survey in Virginia, route 920, point count stop 25",36.6846,-81.5506,VA
BBS 88-920-36,"Breeding Bird Survey in Virginia, route 920, point count stop 36",36.7176,-81.5224,VA
BBS 88-921-12,"Breeding Bird Survey in Virginia, route 921, point count stop 12",38.6157,-78.3505,VA
BBS 88-921-30,"Breeding Bird Survey in Virginia, route 921, point count stop 30",38.5467,-78.389,VA
BBS 88-922-17,"Breeding Bird Survey in Virginia, route 922, point count stop 17",38.2563,-78.6668,VA
BBS 88-922-42,"Breeding Bird Survey in Virginia, route 922, point count stop 42",38.1479,-78.775,VA
BBS 88-923-05,"Breeding Bird Survey in Virginia, route 923, point count stop 5",38.8946,-78.1976,VA
BBS 88-923-46,"Breeding Bird Survey in Virginia, route 923, point count stop 46",38.7536,-78.2981,VA
BILLPAIDC1,Urban backyard NN,38.971652710156,-77.013627538723,DC
Beaver Lane,Backyard with mixed hardwoods,38.219567998103,-77.670989187262,VA
"Belle Isle State Park, Lancaster, VA","Coastal plain, upland forest edge",37.780129538579,-76.596441492825,VA
Broyhill Park,Suburban DC neighborhood. The houses are approximately 60 years old and there are many oak trees and holly trees.,38.859794352237,-77.204403877258,VA
COLSKATMD1,NN backyard,39.207731070346,-76.86718945309,MD
Caledon State Park,"Over 2,000 forested acres in the Atlantic Coastal Plain and along the Potomac River.  Sections include second-growth forests.",38.337043666036,-77.135448978811,VA
